longitude,latitude,type,address,city,state,zip
-77.6467,39.5711,Sheetz,20723 National Pike, Boonsboro,MD,21713
-76.4933,38.2908,Sheetz,22711 Three Notch Rd, California,MD,20619
-78.7890995,39.6931453,Sheetz,10805 Mount Savage Rd NW, Corriganville,MD,21524
-78.8306,39.5942,Sheetz,14606 Mcmullen Hwy Sw, Cresaptown,MD,21502
-78.737694,39.677945,Sheetz,2045 Bedford St, Cumberland,MD,21502
-78.77,39.65,Sheetz,210 Greene St, Cumberland,MD,21502
-78.7644,39.6339,Sheetz,429 Virginia Ave, Cumberland,MD,21502
-77.3881,39.4069,Sheetz,1300 E Patrick St, Frederick,MD,21701
-77.4306,39.4264,Sheetz,1600 Rosemont Ave, Frederick,MD,21702
-77.4086,39.3867,Sheetz,5601 Buckeystown Pike, Frederick,MD,21701
-77.4058,39.3989,Sheetz,6050 Buckeystown Pike, Frederick,MD,21704
-78.9114,39.65,Sheetz,10601 New Georges Creek Rd Sw, Frostburg,MD,21532
-76.4964,38.2369,Sheetz,20760 Old Great Mills Rd, Great Mills,MD,20634
-77.8008,39.6517,Sheetz,12404 Lauger Ave, Hagerstown,MD,21740
-77.7306,39.6125,Sheetz,1396 S Potomac St, Hagerstown,MD,21740
-77.75057,39.6088,Sheetz,17803 Venture Dr, Hagerstown,MD,21740
-77.72,39.6856,Sheetz,18717 Longmeadow Rd, Hagerstown,MD,21742
-77.6967,39.6375,Sheetz,191 Eastern Blvd, Hagerstown,MD,21740
-77.7144,39.6392,Sheetz,301 E Washington St, Hagerstown,MD,21740
-78.1842,39.7,Sheetz,192 W Main St, Hancock,MD,21750
-76.355,39.4286,Sheetz,601 Pulaski Hwy, Joppa,MD,21085
-77.64,39.3369,Sheetz,3842 Burkittsville Rd, Knoxville,MD,21758
-78.8374888,39.6305228,Sheetz,11601 Winchester Road Sw, Lavale,MD,21502
-76.8858,39.6642,Sheetz,3281 Main St, Manchester,MD,21102
-79.4053,39.4103,Sheetz,5 N 3rd St, Oakland,MD,21550
-77.1714,39.6553,Sheetz,40 Antrim Blvd, Taneytown,MD,21787
-77.41,39.6336,Sheetz,428 N Church St, Thurmont,MD,21788
-77.3644,39.4639,Sheetz,8408 Woodsboro Pike, Walkersville,MD,21793
-76.96076,39.55521,Sheetz,1023 Baltimore Blvd, Westminster,MD,21157
-77.8186,39.6003,Sheetz,38 E Potomac St, Williamsport,MD,21795
-78.8211,35.7219,Sheetz,4000 Lufkin Road, Apex,NC,27539
-79.9461,35.9,Sheetz,10206 South Main Street, Archdale,NC,27263
-79.7972,35.6933,Sheetz,1065 East Dixie Drive, Asheboro,NC,27203
-78.5789,35.5158,Sheetz,13433 Nc Highway 210, Benson,NC,27504
-80.4448761,36.009712,Sheetz,286 Nc Hwy 801 N, Bermuda Run,NC,27006
-79.4678,36.0669,Sheetz,2628 Alamance Rd, Burlington,NC,27215
-79.43412,36.05951,Sheetz,2669 Maple Ave, Burlington,NC,27215
-78.895,35.8603,Sheetz,4010 Convenience Lane, Cary,NC,27519
-78.4119,35.6461,Sheetz,1671 Nc 42 Highway West, Clayton,NC,27520
-78.44223,35.63587,Sheetz,9777 Us 70 Bus Hwy W, Clayton,NC,27520
-79.9960875,36.0948121,Sheetz,3202 Sandy Ridge Road, Colfax,NC,27235
