Longitude,Latitude,Name
-75.320224,39.89303,Wawa 0001 (24)
-75.3908843,39.9344619,Wawa 0006 (24)
-75.4212152,39.8255141,Wawa 0007 (24)
-75.3593632,39.966508,Wawa 0008 (24)
-75.2988556,39.921073,Wawa 0009 (24)
-75.2574256,39.9526116,Wawa 0011 (24)
-75.30167,39.94694,Wawa 0012 (24)
-75.2785749,39.9612456,Wawa 0014 (24)
-75.280113,39.910423,Wawa 0019 (24)
-75.21372,40.10659,Wawa 0021 (24)
-75.309482,39.880478,Wawa 0023 (24)
-75.401184,39.987268,Wawa 0024 (24)
-75.591663,39.943787,Wawa 0025 (24)
-75.122473,40.144789,Wawa 0029 (24)
-75.437067,39.829846,Wawa 0030 (24)
-75.717731,39.844778,Wawa 0034 (24)
-75.346045,39.882669,Wawa 0035 (24)
-74.976937,40.149726,Wawa 0038 (24)
-75.23074,40.0232,Wawa 0040 (24)
-75.387205,40.084617,Wawa 0042 (24)
-75.225314,40.178009,Wawa 0043
-74.960253,40.074291,Wawa 0045 (24)
-75.309214,39.988707,Wawa 0054 (24)
-75.194793,39.954693,Wawa 0055 (24)
-75.128278,40.302299,Wawa 0056 (24)
-75.485874,40.041608,Wawa 0057 (24)
-74.837396,40.241616,Wawa 0059 (24)
-74.86093,40.14129,Wawa 0060 (24)
-75.015317,40.208466,Wawa 0061 (24)
-75.2953429,40.010712,Wawa 0066 (24)
-75.29083,40.09028,Wawa 0067 (24)
-75.294988,39.966747,Wawa 0068
-74.896508,40.15481,Wawa 0070 (24)
-75.2725005,39.9409154,Wawa 0073 (24)
-75.135625,40.122774,Wawa 0074 (24)
-74.942303,40.135801,Wawa 0077 (24)
-75.320837,40.26212,"Wawa 0079 (24, Gas, Diesel)"
-75.6159699,39.9908023,"Wawa 0081 (24, Gas)"
-75.08611,40.06306,Wawa 0084 (24)
-75.6470723,40.0555723,"Wawa 0085 (24, Gas)"
-75.16833,39.955,Wawa 0086 (24)
-75.401375,40.5998638,Wawa 0087 (24)
-75.5448762,39.9942402,Wawa 0088 (24)
-75.2099179,40.6872898,Wawa 0089 (24)
-75.27583,40.21639,Wawa 0096
-75.2614043,40.0924884,Wawa 0097 (24)
-75.5650543,40.5193212,"Wawa 0098  (24, Gas, Diesel)"
-75.3875551,39.9163037,Wawa 0100 (24)
-75.2056754,40.7004059,Wawa 0101 (24)
-75.1566206,39.9483709,Wawa 0103 (24)
-75.328416,40.313532,Wawa 0105
-74.9825,40.06611,Wawa 0106 (24)
-74.9893949,40.0492398,Wawa 0108 (24)
-75.164802,40.104466,Wawa 0111 (24)
-75.1769559,40.9940905,Wawa 0112 (24)
-75.070258,40.036296,"Wawa 0115 (24, Gas, Diesel)"
-75.2009623,40.9832585,Wawa 0116 (24)
-75.6783758,40.018712,"Wawa 0118 (24, Gas, Diesel)"
-75.10056,39.98361,Wawa 0119 (24)
-75.4797986,40.5726545,"Wawa 0120 (24, Gas, Diesel)"
-75.191857,40.0608844,Wawa 0125 (24)
-74.9874163,40.1737599,Wawa 0128
-75.5858072,40.2995631,"Wawa 0134 (24, Gas, Diesel)"
-75.4909947,40.6036052,Wawa 0137 (24)
-75.4995676,40.2142809,"Wawa 0141 (24, Gas, Diesel)"
-74.7928174,40.1736702,Wawa 0142 (24)
-75.4050699,40.228538,"Wawa 0143 (24, Gas)"
-75.65787,40.23303,"Wawa 0146 (24, Gas, Diesel)"
-75.9802665,40.3552519,"Wawa 0147 (24, Gas, Diesel)"
-75.1850734,40.2111607,"Wawa 0148 (24, Gas)"
-75.0712762,40.1713523,"Wawa 0149 (24, Gas, Diesel)"
-75.3660356,40.0967562,Wawa 0152 (24)
-75.916057,40.36474,"Wawa 0153 (24, Gas, Diesel)"
-75.3331954,39.9270756,Wawa 0154 (24)
-75.240413,40.018806,Wawa 0155 (24)
-75.212604,40.138267,Wawa 0156 (24)
-75.24697,40.21905,"Wawa 0157 (24, Gas, Diesel)"
-76.351344,40.09309,"Wawa 0158 (24, Gas, Diesel)"
-75.594549,41.091488,"Wawa 0159 (24, Gas, Diesel)"
-75.79472,39.83472,"Wawa 0160 (24, Gas)"
-75.1730444,39.9624507,Wawa 0161 (24)
-74.915629,40.105616,Wawa 0165
-75.8533384,40.3016456,"Wawa 0166 (24, Gas, Diesel)"
-75.32194,40.01722,Wawa 0168 (24)
-75.5374171,39.8497155,"Wawa 0170 (24, Gas, Diesel)"
-75.45228,40.18628,Wawa 0173 (24)
-75.291597,39.904921,Wawa 0174 (24)
-75.3260742,39.9072652,Wawa 0178 (24)
-75.1988832,39.9511377,Wawa 0179 (24)
-75.05417,40.06417,Wawa 0181 (24)
-75.07028,40.04639,Wawa 0183 (24)
-74.8750335,40.1405682,Wawa 0184 (24)
-74.96611,40.36278,Wawa 0185 (24)
-75.5472552,40.1293284,Wawa 0187 (24)
-75.14472,39.92722,Wawa 0191 (24)
-75.0628552,40.0220263,Wawa 0193 (24)
-74.838182,40.110479,Wawa 0196
-75.393538,40.924441,Wawa 0197 (24)
-75.53497,39.8832,"Wawa 0198 (24, Gas, Diesel)"
-75.2284292,40.2662974,Wawa 0200 (24)
-75.6855758,40.0747152,"Wawa 0201 (24, Gas, Diesel)"
-75.61611,40.00944,Wawa 0203 (24)
-75.1055472,40.1789932,Wawa 0204 (24)
-75.5247674,40.050143,"Wawa 0205 (24, Gas, Diesel)"
-75.1030048,40.0054573,Wawa 0207 (24)
-75.571399,40.035735,"Wawa 0208 (24, Gas)"
-75.00444,40.05472,Wawa 0211 (24)
-75.2976762,39.9443302,Wawa 0212 (24)
-75.274165,39.9644613,Wawa 0213 (24)
-75.060399,40.324246,Wawa 0215 (24)
-75.3449603,40.1055261,Wawa 0216 (24)
-75.0516887,40.0218323,Wawa 0218 (24)
-74.88147,40.12697,"Wawa 0219 (24, Gas, Diesel)"
-75.1395753,40.2280798,Wawa 0221 (24)
-75.2406938,40.2450264,Wawa 0222 (24)
-75.3533142,39.8705137,Wawa 0223 (24)
-75.703436,40.0089927,Wawa 0226 (24)
-75.2196857,40.3817552,Wawa 0229 (24)
-75.012312,40.1322656,Wawa 0232 (24)
-75.04694,40.05722,Wawa 0234 (24)
-75.3082856,39.885868,Wawa 0235 (24)
-75.5162902,40.0354891,Wawa 0236 (24)
-75.5261521,40.0548466,Wawa 0238 (24)
-75.30778,39.89833,Wawa 0239 (24)
-75.0968655,40.0188695,Wawa 0240 (24)
-75.385327,40.2785157,Wawa 0242 (24)
-75.7014258,40.0006206,"Wawa 0245 (24, Gas, Diesel)"
-75.145839,39.94186,Wawa 0247 (24)
-75.074526,39.9966741,Wawa 0252 (24)
-75.31,40.06806,Wawa 0253 (24)
-75.2940471,39.8665675,Wawa 0254 (24)
-75.3928367,40.0443384,Wawa 0257 (24)
-75.5690755,40.1828824,"Wawa 0258 (24, Gas)"
-76.1959344,40.1724699,"Wawa 0260 (24, Gas, Diesel)"
-75.0328652,40.0395352,Wawa 0262 (24)
-75.9334176,39.9840495,"Wawa 0263 (24, Gas, Diesel)"
-75.303426,39.9762612,Wawa 0265
-75.6173207,40.5723834,"Wawa 0266 (24, Gas, Diesel)"
-74.9445111,40.0959327,Wawa 0267 (24)
-74.845222,40.117884,"Wawa 0268 (24, Gas, Diesel)"
-75.485466,39.896715,"Wawa 0269 (24, Gas, Diesel)"
-75.771871,41.061116,"Wawa 0270 (24, Gas)"
-75.1451646,40.1872659,"Wawa 0271 (24, Gas)"
-75.3435023,40.4177081,"Wawa 0272 (24, Gas, Diesel)"
-75.3147459,40.228607,Wawa 0273 (24)
-75.9355766,40.389056,"Wawa 0274 (24, Gas, Diesel)"
-76.2313849,40.0297823,"Wawa 0275 (24, Gas, Diesel)"
-75.0845646,40.0749302,"Wawa 0276 (24, Gas, Diesel)"
-74.979175,40.120996,"Wawa 0277 (24, Gas, Diesel)"
-75.5937315,39.9650445,"Wawa 0278 (24, Gas)"
-75.480851,40.277448,"Wawa 0281 (24, Gas, Diesel)"
-75.7293524,40.259987,"Wawa 0282 (24, Gas)"
-75.5285,40.1932,"Wawa 0284 (24, Gas, Diesel)"
-75.1390238,40.2100027,"Wawa 0285 (24, Gas, Diesel)"
-76.00922,40.3259366,"Wawa 0286 (24, Gas)"
