UNIT_CODE,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018
GLAC,2031348,2200048,1853564,2162035,2190374,2338528,2366056,2946681,3305512,2965309
OLYM,3276459,2844563,2966502,2824908,3085340,3243872,3263761,3390221,3401996,3104455
ACAD,2227698,2504208,2374645,2431052,2254922,2563129,2811184,3303393,3509271,3537575
GRSM,9491437,9463538,9008830,9685829,9354695,10099276,10712674,11312786,11338893,11421200
YELL,3295187,3640185,3394326,3447729,3188030,3513484,4097710,4257177,4116524,4115000
YOSE,3737472,3901408,3951393,3853404,3691191,3882642,4150217,5028868,4336890,4009436
ZION,2735402,2665972,2825505,2973607,2807387,3189696,3648846,4295127,4504812,4320033
GRTE,2580081,2669374,2587437,2705256,2688794,2791392,3149921,3270076,3317000,3491151
ROMO,2822325,2955821,3176941,3229617,2991141,3434751,4155916,4517585,4437215,4590493
GRCA,4348068,4388386,4298178,4421352,4564840,4756771,5520736,5969811,6254238,6380495
